epoch,avg_reward,skill_max,enc_acc,skill_kl,pi_kl
-1,0.2202417403459549,0.25,0.25,,
0,0.09788521793153551,0.25421759486198425,0.3467741906642914,1.786460961739067e-05,0.00013808307994622737
1,0.0577683253366439,0.2580699324607849,0.40833336114883423,0.0007068824488669634,0.0002709775581024587
2,0.0969148484591223,0.300279825925827,0.41129031777381897,0.020670032128691673,0.0011023625265806913
3,0.06808487212073513,0.4403556287288666,0.5,0.20209601521492004,0.002275311155244708
4,0.049630086330354595,0.5235205292701721,0.4193548262119293,0.48921236395835876,0.007647303864359856
5,0.10605330419176255,0.5024985074996948,0.47580644488334656,0.6500963568687439,0.03283080458641052
6,0.18721089073207348,0.5848649144172668,0.4750000238418579,0.8152780532836914,0.06392538547515869
7,0.21295699569252635,0.6098873615264893,0.4821428656578064,1.0392308235168457,0.06774219125509262
8,0.1652422665207659,0.6061913967132568,0.44354838132858276,1.1070892810821533,0.10006097704172134
9,0.1290882027897702,0.594641387462616,0.45000001788139343,1.0122584104537964,0.2140478938817978
10,0.10136547058071782,0.6114996075630188,0.4375,1.0622777938842773,0.885869562625885
11,0.07991301526116458,0.6192799806594849,0.4285714626312256,1.6792564392089844,6.3642754554748535
12,0.160161137430702,0.6970344185829163,0.4166666865348816,3.927635669708252,27.521652221679688
13,0.12696077607721692,0.6507875919342041,0.4051724076271057,4.377288341522217,17.592872619628906
14,0.1661565219570077,0.6174747347831726,0.3839285969734192,3.7065186500549316,27.806100845336914
15,0.24764697002138056,0.5665155053138733,0.3571428656578064,2.2774691581726074,31.21880531311035
16,0.4295403763695581,0.6134263277053833,0.4375,2.9576404094696045,39.648658752441406
17,0.6183379768635265,0.6254105567932129,0.4166666865348816,3.2882399559020996,90.53663635253906
18,0.8730259211155198,0.6093783378601074,0.28125,3.6947410106658936,99.630126953125
19,1.1601640242972895,0.6898720264434814,0.392857164144516,4.533278465270996,160.4711151123047
20,1.482589596354113,0.6946165561676025,0.42045456171035767,5.57206392288208,258.74053955078125
21,1.4553783803944758,0.6916021704673767,0.3854166865348816,6.616448402404785,862.36279296875
22,1.4541094197192208,0.7250733375549316,0.42391306161880493,6.0666093826293945,2904.069091796875
23,1.8607592554825918,0.7518952488899231,0.42391306161880493,5.806727409362793,7177.9296875
24,1.9300319974363556,0.7600253820419312,0.3913043439388275,5.406515598297119,17261.861328125
25,1.9752694377248077,0.7238785028457642,0.33695653080940247,4.325274467468262,35182.66796875
26,1.8287918413970319,0.7525090575218201,0.4166666567325592,4.660703182220459,65774.65625
27,2.169427203734723,0.8767804503440857,0.28125,6.707774639129639,120034.5859375
28,2.3241873071349626,0.9626908898353577,0.25,7.3110737800598145,163852.0
29,2.058659228030093,0.9812154769897461,0.25999999046325684,4.84863805770874,234599.015625
30,2.164944004908372,0.9844991564750671,0.25,3.961707353591919,368171.53125
31,1.9345722690890281,0.9941611289978027,0.261904776096344,3.5797088146209717,461842.5
32,2.1358176629165997,0.9996886849403381,0.27272728085517883,0.1140727624297142,803251.0625
33,1.7927087745547725,1.0,0.25,3.689362704228927e-10,1136230.75
34,1.5924653315327493,1.0,0.25,5.6618376653716496e-09,1643016.25
35,1.8432802393858243,1.0,0.25,2.545292102085206e-12,2261350.25
36,1.5083771474844279,1.0,0.25,2.65815414124404e-09,3495374.75
37,1.5591556143733585,1.0,0.25,3.639859594284367e-11,6354834.0
38,1.603721702197822,1.0,0.25287356972694397,2.1338020239625166e-10,8083477.5
39,1.5734597881000991,1.0,0.25,1.0159777186213859e-10,9059899.0
40,1.7072296803346705,1.0,0.25,1.9301496165247123e-11,12338809.0
41,1.9598060416037835,1.0,0.25,5.824051241276607e-10,18146336.0
