epoch,avg_reward,skill_max,enc_acc,skill_kl,pi_kl
-1,0.29982224106788635,0.25,0.25,,
0,0.037477780133485794,0.25330883264541626,0.20689654350280762,1.1871081369463354e-05,0.00012950098607689142
1,0.004684722516685724,0.25382253527641296,0.25984251499176025,1.918498492159415e-05,0.0001785888016456738
2,0.0005855903145857155,0.2599427402019501,0.3306451439857483,0.0004229346814099699,0.00046385987661778927
3,0.02699784990545595,0.2684888243675232,0.3046875,0.0010652376804500818,0.0014807392144575715
4,0.09724076658039849,0.2787308394908905,0.3125,0.003695331048220396,0.002998892916366458
5,0.01215509582254981,0.3238036036491394,0.2890625,0.03801056742668152,0.00955144502222538
6,0.0015193869778187263,0.39149266481399536,0.2890625,0.1838487833738327,0.05373494327068329
7,0.0001899233722273408,0.6541382074356079,0.3750000298023224,0.567213237285614,0.3970853388309479
8,2.37404215284176e-05,0.9194457530975342,0.2822580635547638,0.44316524267196655,4.15244722366333
9,2.9675526910522e-06,0.9990649223327637,0.2177419364452362,0.00642247823998332,31.93961524963379
10,3.70944086381525e-07,0.9999905824661255,0.24193547666072845,5.585919279837981e-05,158.43472290039062
11,4.636801079769062e-08,0.9999988675117493,0.2421875,6.936926638445584e-06,527.0681762695312
12,5.796001349711328e-09,0.9999997615814209,0.2338709533214569,2.600673269625986e-06,1167.7828369140625
13,7.24500168713916e-10,1.0,0.25,7.933708161544928e-07,2036.899169921875
14,9.05625210892395e-11,1.0,0.28125,9.534673495181778e-07,3106.851806640625
15,1.1320315136154937e-11,0.9999998807907104,0.2586206793785095,1.649295654715388e-06,4188.69482421875
16,1.4150393920193672e-12,1.0,0.2578125,4.588752346990077e-07,5142.08056640625
17,1.768799240024209e-13,0.9999999403953552,0.25,6.692541205666203e-07,11617.0009765625
18,2.2109990500302612e-14,0.9999999403953552,0.2520325183868408,7.9688177834214e-08,23887.189453125
19,2.7637488125378265e-15,1.0,0.25,1.6169384053910107e-08,38265.71875
20,3.454686015672283e-16,1.0,0.25,1.8912674093485293e-08,39631.8359375
21,4.318357519590354e-17,1.0,0.25,1.2507225477520478e-08,46918.20703125
22,5.397946899487942e-18,1.0,0.25,6.808910768540954e-08,55127.359375
23,6.747433624359928e-19,0.9999999403953552,0.25,-4.6257387253945126e-08,69777.7890625
24,8.43429203044991e-20,1.0,0.25,5.687218251893e-09,116011.6015625
25,1.0542865038062387e-20,1.0,0.25,6.0805400714514235e-09,113588.171875
26,1.3178581297577984e-21,1.0,0.25,6.3085123791495334e-09,141945.015625
27,1.647322662197248e-22,1.0,0.25,5.81203174476741e-09,164651.390625
