epoch,avg_reward,skill_acc
-1,2.2749999999999995,0.25
0,2.1999999999999997,tensor(0.2127)
1,2.1687500000000006,tensor(0.2539)
2,1.9625000000000006,tensor(0.2734)
3,2.1562500000000004,tensor(0.2266)
4,2.4562500000000007,tensor(0.2773)
5,2.5375,tensor(0.3281)
6,2.2812500000000004,tensor(0.3008)
7,2.5625,tensor(0.3320)
8,2.4437499999999996,tensor(0.3867)
9,2.325000000000001,tensor(0.4570)
10,2.4750000000000005,tensor(0.4375)
11,2.4625,tensor(0.4727)
12,3.0062499999999996,tensor(0.5508)
13,2.425000000000001,tensor(0.5508)
14,3.1937499999999996,tensor(0.5469)
15,4.1062499999999975,tensor(0.6133)
16,4.3562499999999975,tensor(0.6016)
17,5.093749999999995,tensor(0.5391)
18,5.243749999999995,tensor(0.5078)
19,5.449999999999996,tensor(0.5859)
20,4.9687499999999964,tensor(0.5898)
21,4.574999999999998,tensor(0.5859)
22,5.631249999999994,tensor(0.5469)
23,5.256249999999996,tensor(0.5977)
24,5.543749999999996,tensor(0.6172)
25,5.412499999999996,tensor(0.5781)
26,6.012499999999994,tensor(0.5664)
27,7.4374999999999964,tensor(0.6602)
28,5.874999999999995,tensor(0.6406)
29,7.143749999999991,tensor(0.5508)
30,6.299999999999994,tensor(0.5352)
31,6.368749999999993,tensor(0.5508)
32,6.781249999999991,tensor(0.5391)
33,7.48124999999999,tensor(0.5625)
34,6.281249999999993,tensor(0.5938)
35,8.149999999999988,tensor(0.5859)
36,5.974999999999994,tensor(0.5273)
37,9.593749999999984,tensor(0.5508)
38,7.706249999999988,tensor(0.3594)
39,11.262499999999989,tensor(0.3867)
40,6.318749999999993,tensor(0.3477)
41,10.537499999999985,tensor(0.3867)
