epoch,avg_reward,skill_max,enc_acc,skill_kl,pi_acc,pi_kl
-1,-4.1068280951519345,0.25,0.25,,0.25,
0,-4.045571932096258,0.30220890045166016,0.28125,0.014195218682289124,0.25,0.09541192650794983
1,-4.074346656711271,0.30891111493110657,0.375,0.01647048629820347,0.2495039850473404,0.09466379135847092
2,-3.5299321058246074,0.34276244044303894,0.390625,0.030529094859957695,0.2507381737232208,0.10277724266052246
3,-3.4655409099728156,0.3775612413883209,0.46875,0.05287225544452667,0.2615649700164795,0.1159542128443718
4,-3.089594628166847,0.39032861590385437,0.4765625,0.06898295879364014,0.2775590419769287,0.12857119739055634
5,-2.359799637366982,0.42882591485977173,0.5625,0.10566435754299164,0.2893700897693634,0.1445838063955307
6,-3.291723531163821,0.47794488072395325,0.59375,0.17105884850025177,0.3056102395057678,0.1673511415719986
7,-3.610300547311051,0.5299162864685059,0.6171875,0.24375566840171814,0.342765748500824,0.19323621690273285
8,-3.6419726246877393,0.5796040892601013,0.625,0.37132033705711365,0.3626968562602997,0.220010444521904
9,-3.1959499129334015,0.6294029355049133,0.5859375,0.4976184070110321,0.3939468562602997,0.263550341129303
10,-2.758872295138893,0.6675230264663696,0.6796875,0.5246928930282593,0.42076772451400757,0.2988891899585724
11,-2.3199193358195562,0.6736708879470825,0.640625,0.47488856315612793,0.44685038924217224,0.3054695427417755
12,-3.001499142147671,0.6425554156303406,0.609375,0.48736169934272766,0.4495570957660675,0.288114994764328
13,-3.479309635290744,0.6250432729721069,0.59375,0.4757804274559021,0.4611220359802246,0.28607088327407837
14,-2.6472779002505806,0.6326015591621399,0.671875,0.503897488117218,0.4566929042339325,0.306377112865448
15,-2.9079439739511823,0.6798693537712097,0.6484375,0.6323266625404358,0.5086122155189514,0.34252339601516724
16,-2.645286424969047,0.6882424354553223,0.734375,0.6873798966407776,0.5580708384513855,0.3957175016403198
