epoch,avg_reward,skill_max,enc_acc,skill_kl,pi_acc,pi_kl
-1,-4.1068280951519345,0.25,0.25,,0.25,
0,-3.673353961989573,0.33058229088783264,0.28125,0.02804107777774334,0.25,0.09515590965747833
1,-4.412066164940573,0.4775335192680359,0.3203125,0.15723386406898499,0.2527281939983368,0.09652592986822128
2,-3.5709019382701617,0.7098952531814575,0.3125,0.6146513819694519,0.2647637724876404,0.0971129983663559
3,-3.1153464690622443,0.8375675082206726,0.2890625,1.2174736261367798,0.26033464074134827,0.09630268812179565
4,-3.279027159432615,0.9071328043937683,0.296875,1.8664551973342896,0.26402559876441956,0.10383649915456772
5,-3.3877325453722023,0.9376548528671265,0.28125,2.450281858444214,0.2760826647281647,0.11351984739303589
6,-3.4548245695933746,0.9500152468681335,0.28125,2.797452926635742,0.29576772451400757,0.12542015314102173
7,-3.1147778093834795,0.9584006071090698,0.34375,3.1496987342834473,0.3208661377429962,0.14011047780513763
8,-2.7842814891675016,0.9589258432388306,0.3203125,3.558811902999878,0.343257874250412,0.15172992646694183
9,-2.976570097704835,0.9642458558082581,0.25,3.788181781768799,0.37303149700164795,0.16951236128807068
10,-2.9022835591561518,0.9717381000518799,0.3046875,4.094107627868652,0.39566928148269653,0.18428297340869904
11,-3.109923695111615,0.9714104533195496,0.296875,4.5709967613220215,0.44340550899505615,0.20104947686195374
