epoch,avg_reward,skill_max,enc_acc,skill_kl,pi_acc,pi_kl
-1,-4.1068280951519345,0.25,0.25,,0.25,
0,-2.918556729990679,0.32602357864379883,0.390625,0.025033678859472275,0.25,0.09491444379091263
1,-3.4998358723147454,0.4596628248691559,0.359375,0.13231350481510162,0.2527281939983368,0.10145371407270432
2,-2.8204641854001395,0.6657422184944153,0.4765625,0.45399561524391174,0.25196850299835205,0.11154897511005402
3,-3.744693943991823,0.7875691652297974,0.4921875,0.8342246413230896,0.25959646701812744,0.11887837201356888
4,-3.1273087191286244,0.8479385375976562,0.640625,1.2341665029525757,0.26845473051071167,0.12701191008090973
5,-3.4367480916639646,0.8901312351226807,0.6328125,1.5913808345794678,0.280757874250412,0.13678190112113953
6,-3.021749085628814,0.8996262550354004,0.5859375,1.8245131969451904,0.30191928148269653,0.1500607579946518
7,-3.400123824876758,0.9117947220802307,0.625,2.198762893676758,0.32234251499176025,0.17887303233146667
8,-3.550521796636911,0.9276180863380432,0.609375,2.535963773727417,0.3585137724876404,0.21205812692642212
9,-3.290195340046082,0.9309008121490479,0.625,2.6829769611358643,0.3905019760131836,0.237975612282753
10,-2.6794593214748668,0.936118483543396,0.578125,3.097146987915039,0.43528541922569275,0.2753318250179291
11,-3.2278420894475595,0.9422776103019714,0.6875,3.2788562774658203,0.49753937125205994,0.33769720792770386
12,-3.2860508727773596,0.947394847869873,0.640625,3.4356441497802734,0.5428149700164795,0.4074208438396454
