epoch,avg_reward,skill_max,enc_acc,skill_kl,pi_acc,pi_kl
-1,-4.1068280951519345,0.25,0.25,,0.25,
0,-3.5344808787733597,0.3070949912071228,0.265625,0.016074439510703087,0.25,0.09221439808607101
1,-3.321345283296935,0.34101438522338867,0.421875,0.0430343933403492,0.250992089509964,0.09654407203197479
2,-3.9832791740843714,0.3802824318408966,0.484375,0.09397883713245392,0.25221458077430725,0.10347092896699905
3,-3.3656912655170066,0.40985533595085144,0.5078125,0.14664316177368164,0.26377952098846436,0.10798342525959015
4,-2.8200724318997628,0.4308824837207794,0.53125,0.17584431171417236,0.2583661377429962,0.12033821642398834
5,-3.1389868058963133,0.4458151161670685,0.5390625,0.20569458603858948,0.27854329347610474,0.129055455327034
6,-3.240635988741906,0.4572058618068695,0.6015625,0.22501027584075928,0.2883858382701874,0.13916325569152832
7,-3.003344418717642,0.4771069586277008,0.609375,0.25791624188423157,0.32185038924217224,0.15928241610527039
8,-4.381098691436764,0.4829595685005188,0.671875,0.26899513602256775,0.3289862275123596,0.1764569878578186
9,-3.897491295887007,0.49502721428871155,0.6796875,0.31066420674324036,0.36466535925865173,0.1911904513835907
10,-3.230800105488142,0.5023016333580017,0.71875,0.32497191429138184,0.40428149700164795,0.21246755123138428
11,-3.0212535452367186,0.5185371041297913,0.7578125,0.3472605347633362,0.4323326647281647,0.23714496195316315
12,-3.11352903961125,0.5337556004524231,0.6875,0.3976466953754425,0.4879429042339325,0.2815953195095062
13,-3.342442471799418,0.5271979570388794,0.765625,0.39319169521331787,0.5752952694892883,0.32033684849739075
